number,species,treatment ,cohort ,date harvested,leaf area,shoot fresh biomass,shoot dry biomass,root fresh biomass,root dry biomass (g)
151,ceso,low N,2,16-Jan,1.006,0.1051,0.0066,0.0029,0.0000029
154,ceso,low N,2,16-Jan,0.656,0.0899,0.0056,0.0089,0.0000089
3,heco,high N,3,6-Feb,3.949,0.45,0.0467,0.1704,0.0058
5,heco,low N,3,6-Feb,3.089,0.2,0.0331,0.2025,0.0083
7,heco,high N,3,6-Feb,5.118,1.05,0.1179,0.2408,0.0118
8,heco,low N,3,6-Feb,5.718,0.44,0.0541,0.4977,0.0196
9,ceso,high N,3,6-Feb,22.796,5.32,0.3682,1.3409,0.05
14,ceso,high N,3,6-Feb,27.596,6.31,0.4516,2.0017,0.0816
17,heco,high N,3,6-Feb,7.671,1.23,0.0881,0.2395,0.0118
23,ceso,low N,3,6-Feb,6.161,0.92,0.0648,0.3734,0.0135
24,heco,low N,3,6-Feb,6.447,0.78,0.0813,1.1746,0.0481
26,heco,high N,3,6-Feb,5.153,2.32,0.1475,1.0662,0.0469
30,heco,high N,3,6-Feb,8.247,3.35,0.3255,1.171,0.0485
32,ceso,low N,3,6-Feb,8.224,1.63,0.109,1.5188,0.0445
35,ceso,low N,3,6-Feb,10.088,1.55,0.1313,2.2672,0.0559
39,heco,low N,3,6-Feb,4.436,0.59,0.0618,0.359,0.0287
40,ceso,low N,3,6-Feb,11.615,1.99,0.1224,2.2297,0.0541
44,heco,low N,3,6-Feb,8.853,1.23,0.1319,1.0902,0.047
49,heco,low N,3,6-Feb,5.946,1.01,0.0813,1.4114,0.0894
51,heco,high N,3,6-Feb,8.333,2,0.174,1.4628,0.0656
52,heco,low N,3,6-Feb,4.494,0.62,0.0485,0.6124,0.0316
54,ceso,high N,3,6-Feb,32.883,8.84,0.5605,6.3,0.1973
60,heco,high N,3,6-Feb,13.119,2.1,0.1724,0.5754,0.024
63,heco,high N,3,6-Feb,10.333,2.76,0.2183,1.3725,0.0602
65,heco,low N,3,6-Feb,7.365,0.98,0.0848,1.0456,0.0407
71,ceso,low N,3,6-Feb,8.956,2.01,0.1545,5.01,0.1427
78,ceso,high N,3,6-Feb,30.969,10.96,0.7836,8.37,0.3067
84,ceso,low N,3,6-Feb,9.203,2.33,0.1729,3.88,0.1349
86,heco,low N,3,6-Feb,6.033,1.13,0.0941,0.9546,0.0454
94,heco,high N,3,6-Feb,5.844,2.33,0.1841,0.8868,0.0486
103,ceso,high N,3,6-Feb,36.041,10.16,0.5217,3.15,0.1419
106,ceso,high N,3,6-Feb,30.182,14.57,1.0035,9.7,0.3421
107,ceso,low N,3,6-Feb,15.963,2.9,0.2117,7.23,0.2141
114,heco,high N,3,6-Feb,9.045,2.4,0.1774,1.2805,0.0524
131,ceso,high N,3,6-Feb,36.902,14.19,0.9663,11.94,0.4459
139,heco,low N,3,6-Feb,5.729,1.45,0.1042,3.49,0.1754
147,ceso,low N,3,6-Feb,9.467,2.31,0.159,3.26,0.1322
148,ceso,high N,3,6-Feb,36.33,13.06,0.8635,10.21,0.4614
152,ceso,high N,3,6-Feb,42.374,19.54,1.2638,14.94,0.4882
156,ceso,low N,3,6-Feb,8.772,1.62,0.1163,2.28,0.0994
158,ceso,low N,3,6-Feb,13.956,3.1,0.237,6.18,0.1955
159,ceso,high N,3,6-Feb,37.892,19.07,1.1987,14.03,0.5337
1,heco,low N,4,6-Mar,10.367,3.26,0.3863,7.52,0.5046
2,heco,high N,4,6-Mar,24.747,33.02,3.075,36.85,2.3873
10,ceso,high N,4,6-Mar,33.189,37.71,4.04,36.3,4.51
15,ceso,low N,4,6-Mar,9.291,5.61,0.6124,19.01,1.17
20,ceso,high N,4,6-Mar,32.109,37.31,5.09,49.4,4.62
25,ceso,low N,4,6-Mar,13.054,4.51,0.6425,13.2,0.9194
33,heco,high N,4,6-Mar,26.892,35.7,3.46,26.62,2.18
36,heco,high N,4,6-Mar,24.749,29.79,3.5,26.79,3.97
43,ceso,high N,4,6-Mar,34.998,32.07,3.43,43.06,2.86
46,heco,low N,4,6-Mar,8.829,3.73,0.5058,8.02,0.5893
53,heco,high N,4,6-Mar,21.688,27.51,3.5,36.97,3.11
55,heco,high N,4,6-Mar,21.76,22.18,2.68,36.46,2.11
56,heco,low N,4,6-Mar,9.906,2.08,0.2493,3.99,0.3229
67,ceso,high N,4,6-Mar,32.875,35.79,4.82,45.89,3.81
68,ceso,low N,4,6-Mar,14.174,6.4,0.79,15.19,1.14
69,heco,low N,4,6-Mar,12.256,5.18,0.6507,13.52,1.3746
70,heco,low N,4,6-Mar,10.686,4.4,0.6185,11.41,0.8506
75,ceso,low N,4,6-Mar,12.703,5.84,0.7318,15.66,1.135
80,ceso,low N,4,6-Mar,14.875,5.85,0.7187,16.94,1.17
85,ceso,low N,4,6-Mar,7.548,5.07,0.5841,14.27,0.7688
91,ceso,high N,4,6-Mar,26.104,26.13,5.18,32.37,5.32
95,ceso,high N,4,6-Mar,27.072,34.74,4.11,40.73,3.92
98,heco,low N,4,6-Mar,4.39,9.735,0.7098,10.11,0.9778
111,ceso,high N,4,6-Mar,38.901,33.82,7.58,29.46,4.21
113,ceso,low N,4,6-Mar,11.721,5.48,0.6531,15.92,0.8934
117,ceso,low N,4,6-Mar,10.543,5.22,0.6444,12.52,0.7879
119,ceso,high N,4,6-Mar,47.068,39.39,6.41,43.34,5.82
120,ceso,low N,4,6-Mar,15.026,8.14,0.9237,23.94,2.85
121,heco,high N,4,6-Mar,24.291,27.66,5,41.31,6.78
124,heco,high N,4,6-Mar,24.059,34.23,4.6,48.6,5.76
126,heco,high N,4,6-Mar,28.574,43.64,6.53,33.02,4.77
127,heco,high N,4,6-Mar,26.043,26.07,5.25,33.03,6.67
129,heco,low N,4,6-Mar,8.189,4.25,0.4924,6.84,1.0776
132,heco,low N,4,6-Mar,8.257,6.05,0.6638,11.57,0.6041
140,heco,low N,4,6-Mar,6.646,4.71,0.6977,12.43,1.0525
143,heco,high N,4,6-Mar,19.831,29.96,4.83,32.61,5.72
145,ceso,high N,4,6-Mar,38.531,33.1,4.27,56.92,7.78
150,heco,low N,4,6-Mar,6.167,3.47,0.4924,10.83,1.0776
155,ceso,low N,4,6-Mar,10.286,7.91,1.0376,18.04,1.436
157,ceso,high N,4,6-Mar,45.701,36.57,5.11,42.96,6.55
